_chiffre	freqfilm	freqlivre
0'	0.85	0.00
0-	0.05	0.00
0-0	0.05	0.00
0-1-5	0.11	0.00
0-1	0.11	0.00
0-10	0.05	0.00
0-2-0	0.05	0.00
0-2	0.48	0.00
0-3-0	0.05	0.00
0-3-5	0.05	0.00
0-3-9	0.05	0.00
0-4-2	0.05	0.00
0-4	0.11	0.00
0-5-0	0.16	0.00
0-6-5	0.05	0.00
0-7-0	0.05	0.00
0-7-5	0.05	0.00
0-8-0	0.05	0.00
0-9-7	0.05	0.00
0-90	0.11	0.00
0 2 9 3	0.05	0.00
0 20 100 0	0.00	0.07
0 4 0	0.05	0.00
0 800	0.05	0.00
0	7.50	2.64
0,0025	0.05	0.00
0,009	0.00	0.07
0,010	0.00	0.07
0,04	0.05	0.00
0,05	0.05	0.07
0,06	0.05	0.00
0,07	0.00	0.07
0,1	0.00	0.07
0,1,5	0.05	0.00
0,2	0.11	0.00
0,21	0.05	0.00
0,22	0.05	0.00
0,25	0.32	0.07
0,3	0.16	0.00
0,357	0.05	0.00
0,38	0.16	0.00
0,40	0.00	0.07
0,5	0.32	0.20
0,50	0.05	0.27
0,58	0.05	0.00
0,59	0.05	0.00
0,618	0.00	0.07
0,7	0.05	0.00
0,75	0.05	0.00
0,77	0.00	0.07
0,79	0.05	0.00
0,8	0.11	0.00
0,9	0.05	0.00
0,90	0.00	0.20
0,99	0.05	0.00
0..17	0.00	0.07
0.00002	0.05	0.00
0.003	0.05	0.00
0.008	0.05	0.00
0.017	0.05	0.00
0.02%	0.05	0.00
0.03	0.05	0.00
0.05	0.05	0.00
0.051	0.05	0.00
0.06	0.05	0.00
0.16	0.05	0.00
0.2	0.05	0.00
0.200	0.11	0.00
0.3	0.16	0.00
0.30	0.05	0.00
0.31	0.05	0.00
0.4	0.05	0.00
0.4.0	0.05	0.00
0.5	0.11	0.00
0.7..	0.05	0.00
0.74	0.11	0.00
0.75	0.05	0.00
0.9	0.05	0.00
0/25	0.00	0.07
0/3	0.00	0.07
0/30	0.00	0.07
0°	0.05	0.00
0°c	0.05	0.00
00 01	0.00	0.07
00 02	0.05	0.00
00 325	0.00	0.07
00	7.23	0.07
00..	0.05	0.00
000	1.33	0.14
00000	0.00	0.07
001	0.74	0.00
002	0.11	0.00
0027	0.05	0.00
003	0.32	0.00
00331	0.00	0.14
004	0.16	0.07
004123317	0.05	0.00
005	0.05	0.00
006	0.05	0.00
007	6.17	0.00
007à	0.05	0.00
008	0.11	0.00
008r	0.05	0.00
009	0.11	0.00
0097	0.05	0.00
009717-d	0.05	0.00
01-01-026	0.05	0.00
01-01-027	0.05	0.00
01 5	0.05	0.00
01 7 1	0.05	0.00
01 71 444 3184	0.05	0.00
01	1.01	0.00
01.1997	0.05	0.00
0100	0.05	0.00
011-9354-7179	0.05	0.00
011	0.05	0.14
012	0.00	0.07
015	0.16	0.00
016021	0.05	0.00
0199	0.05	0.00
01à	0.05	0.00
02	0.96	0.14
020	0.37	0.00
020522-012	0.11	0.00
0219	0.05	0.00
022	0.05	0.00
024	0.05	0.00
029 3312106	0.05	0.00
029 351	0.05	0.00
03	0.85	0.07
03...13	0.05	0.00
03.00	0.05	0.00
03.57	0.05	0.00
030	0.05	0.00
0300	0.05	0.00
033-03	0.05	0.00
034	0.05	0.00
034285219	0.05	0.00
0357	0.05	0.00
036	0.05	0.00
037	0.59	0.00
0381 5	0.05	0.00
04	0.64	0.00
040	0.11	0.00
041 12	0.05	0.00
041	0.05	0.00
044	0.11	0.00
045	0.37	0.00
047	0.11	0.00
05	1.17	0.47
05/	0.05	0.00
05/04	0.05	0.00
05/78	0.05	0.00
050	0.43	0.00
052	0.05	0.00
0530	0.05	0.00
055	0.11	0.00
058	0.05	0.00
06	1.76	0.07
060	0.11	0.07
0600	0.16	0.00
0606	0.05	0.00
062	0.11	0.00
0641 99	0.05	0.00
066	0.11	0.00
069	0.11	0.00
07	0.80	0.07
07/1930	0.05	0.00
0700	0.05	0.00
0724935	0.05	0.00
0730	0.05	0.00
076	0.11	0.00
079	0.43	0.00
0790	0.05	0.00
08-11561	0.05	0.00
08	0.90	0.14
0800	0.16	0.00
089	0.21	0.00
09-11-74	0.05	0.00
09-12	0.05	0.00
09	0.96	0.00
09..10	0.00	0.14
09.00	0.05	0.00
090	0.21	0.00
09283	0.05	0.00
095042-f	0.05	0.00
0950426-f	0.05	0.00
097435	0.05	0.00
0é	0.11	0.00
0h	0.11	0.00
0h00	0.05	0.00
0h01	0.27	0.00
0h04	0.11	0.00
0h30	0.05	0.00
¼­ ¸	0.05	0.00
¼­ ²¨	0.05	0.00
¼­	0.05	0.00
¼	0.32	0.00
¼¿'¿¡¼­	0.05	0.00
¼¼¿	0.32	0.00
¼½½º¿£ ¿	0.05	0.00
½ "	0.05	0.00
½	1.06	0.00
½´	0.05	0.00
½º ¾	0.05	0.00
½º	0.11	0.00
¾	2.98	0.00
1'	0.21	0.07
1-	0.16	0.00
1-0-0	0.05	0.00
1-0-5	0.05	0.00
1-0-7	0.05	0.00
1-0-8	0.05	0.00
1-0	0.21	0.00
1-1-1-1	0.05	0.00
1-1-3-1	0.11	0.00
1-1-3	0.05	0.00
1-1-9	0.05	0.00
1-10	0.05	0.00
1-118	0.05	0.00
1-15	0.05	0.00
1-2-0	0.05	0.00
1-2-1.5	0.05	0.00
1-2-3	0.05	0.00
1-2-7	0.05	0.00
1-2	0.27	0.07
1-200-c-dlck	0.16	0.00
1-212-555-0118	0.05	0.00
1-24	0.05	0.00
1-3-0	0.11	0.00
1-4	0.32	0.00
